winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
1,2017,Pakistan,South Africa,5,-1,-4,1,2,57.14285714285714,68.33333333333333,0,1,1022359
0,2017,India,Sri Lanka,4,-1,2,0,1,60.0,60.65573770491803,0,0,1022361
1,2017,Bangladesh,New Zealand,36,-2,6,1,3,56.666666666666664,76.19047619047619,0,1,1022363
1,2017,England,Australia,-2,-2,-2,1,3,54.09836065573771,66.66666666666666,1,0,1022365
1,2017,India,South Africa,-2,-1,-3,0,1,60.317460317460316,77.04918032786885,1,0,1022367
1,2017,Pakistan,Sri Lanka,-15,1,-3,1,0,65.57377049180327,53.125,1,0,1022369
0,2017,England,Pakistan,3,1,1,1,0,53.333333333333336,61.29032258064516,0,0,1022371
0,2017,Bangladesh,India,-17,2,-3,2,0,70.0,58.333333333333336,0,0,1022373
0,2017,India,Pakistan,9,-3,-1,0,3,55.223880597014926,65.0,1,0,1022375
1,2016/17,Hong Kong,Papua New Guinea,-19,0,0,2,2,74.60317460317461,56.451612903225815,1,1,1026847
0,2016/17,Hong Kong,Papua New Guinea,21,0,8,3,3,65.57377049180327,71.42857142857143,0,1,1026849
1,2016/17,Hong Kong,Papua New Guinea,-2,-1,-2,0,1,66.66666666666666,68.85245901639344,0,1,1026851
0,2016/17,West Indies,England,1,1,2,2,1,70.0,58.06451612903226,1,0,1027315
0,2016/17,West Indies,England,-34,1,-4,2,1,76.66666666666667,53.333333333333336,1,1,1027317
0,2016/17,West Indies,England,12,-2,1,1,3,60.65573770491803,80.64516129032258,1,0,1027319
1,2017,England,Ireland,-19,1,-4,2,1,66.66666666666666,51.61290322580645,0,1,1029001
1,2017,England,Ireland,-14,0,-3,0,0,69.35483870967742,62.295081967213115,0,0,1029003
0,2016/17,Bangladesh,England,3,0,-1,1,1,52.459016393442624,60.65573770491803,0,1,1029819
1,2016/17,Bangladesh,England,-1,-2,2,2,4,71.66666666666667,70.49180327868852,0,0,1029821
0,2016/17,Bangladesh,England,-7,0,-1,0,0,60.65573770491803,56.666666666666664,0,0,1029823
1,2016/17,India,New Zealand,-7,2,-1,3,1,68.25396825396825,72.58064516129032,1,0,1030219
0,2016/17,India,New Zealand,15,0,4,1,1,66.66666666666666,71.66666666666667,1,0,1030221
1,2016/17,India,New Zealand,19,-1,3,1,2,54.83870967741935,59.01639344262295,1,0,1030223
0,2016/17,India,New Zealand,30,-1,4,0,1,41.53846153846154,63.934426229508205,0,1,1030225
1,2016/17,India,New Zealand,-1,-1,-2,1,2,60.317460317460316,65.57377049180327,1,1,1030227
1,2017,England,South Africa,-1,0,-2,1,1,55.55555555555556,55.00000000000001,0,0,1031425
1,2017,England,South Africa,-13,0,-2,1,1,64.51612903225806,51.66666666666667,0,0,1031427
0,2017,England,South Africa,-17,6,-3,6,0,72.58064516129032,56.25,0,0,1031429
0,2017,West Indies,England,-14,1,-3,2,1,55.73770491803278,36.666666666666664,1,1,1031667
1,2017,England,West Indies,-8,0,-4,1,1,56.451612903225815,62.295081967213115,0,0,1031671
0,2017,West Indies,England,-2,3,1,3,0,58.730158730158735,49.18032786885246,0,0,1031673
0,2017,West Indies,England,-6,1,-1,1,0,60.65573770491803,44.26229508196721,0,0,1031675
0,2017,Ireland,New Zealand,17,0,4,2,2,64.51612903225806,73.77049180327869,1,0,1033363
0,2017,Bangladesh,New Zealand,-2,-1,-1,0,1,60.65573770491803,56.666666666666664,0,0,1033365
0,2017,Ireland,Bangladesh,-31,2,-6,2,0,70.3125,52.307692307692314,0,0,1033367
0,2017,Ireland,New Zealand,27,-1,6,0,1,59.67741935483871,70.0,1,0,1033369
1,2017,Bangladesh,New Zealand,14,0,2,1,1,54.09836065573771,65.57377049180327,1,0,1033371
1,2016/17,India,England,16,-1,4,1,2,47.61904761904761,64.0625,1,0,1034819
1,2016/17,India,England,-23,2,-2,3,1,73.33333333333333,54.83870967741935,0,0,1034821
0,2016/17,India,England,-9,-2,1,0,2,75.40983606557377,61.53846153846154,1,0,1034823
1,2016/17,Pakistan,West Indies,30,0,7,1,1,60.65573770491803,63.33333333333333,0,0,1050223
1,2016/17,Pakistan,West Indies,9,1,0,2,1,50.79365079365079,55.55555555555556,1,1,1050225
1,2016/17,Pakistan,West Indies,20,-1,3,0,1,46.666666666666664,63.49206349206349,1,1,1050227
0,2016/17,Zimbabwe,Sri Lanka,-31,3,-8,3,0,75.40983606557377,60.65573770491803,0,0,1059710
0,2016/17,Sri Lanka,West Indies,-5,-1,-4,2,3,75.80645161290323,75.40983606557377,1,0,1059711
1,2016/17,Sri Lanka,West Indies,-8,0,-3,1,1,47.540983606557376,53.2258064516129,0,0,1059714
